"Name","Ret.Time.1","Area.1","Mark.1","Ret..Index.1","SI.1","CAS.1","Retention.Index.1","Replicate.1","Ret.Time.2","Area.2","Mark.2","Ret..Index.2","SI.2","CAS.2","Retention.Index.2","Replicate.2","Ret.Time.3","Area.3","Mark.3","Ret..Index.3","SI.3","CAS.3","Retention.Index.3","Replicate.3","Ret.Time.Avg","Max.Area","Ret.Time.SD","Ret.Time.Outlier"
"pentadecane",20.438,1232365," V ",NA,95,"629 - 62 - 9",1512,1,20.437,1099896," V ",NA,94,"629 - 62 - 9",1512,2,20.435,1066216," V ",NA,94,"629 - 62 - 9",1512,3,20.4366666666667,1232365,0.00152752523165226,NA
"dodecane, 4,6-dimethyl-",20.715,2180304," V ",NA,95,"61141 - 72 - 8",1285,1,20.72,1892239," V ",NA,96,"61141 - 72 - 8",1285,2,20.716,1806454," V ",NA,96,"61141 - 72 - 8",1285,3,20.717,2180304,0.0026457513110638,NA
"propanoic acid, ethyl ester",2.297,2907441," V ",NA,94,"105 - 37 - 3",686,1,2.311,3332127," V ",NA,93,"105 - 37 - 3",686,2,2.3,3194149," V ",NA,96,"105 - 37 - 3",686,3,2.30266666666667,3332127,0.00737111479583193,NA
"hexane, 2,5-dimethyl-",2.507,661138,"   ",NA,94,"592 - 13 - 2",688,1,2.52,525270,"   ",NA,94,"592 - 13 - 2",688,2,2.506,372366,"   ",NA,93,"592 - 13 - 2",688,3,2.511,661138,0.0078102496759067,NA
"1-hexanol",5.058,15883245," V ",NA,94,"111 - 27 - 3",860,1,5.073,18352503,"   ",NA,95,"111 - 27 - 3",860,2,5.069,17725181,"   ",NA,96,"111 - 27 - 3",860,3,5.06666666666667,18352503,0.00776745346515428,NA
"hexanoic acid",10.82,6728739," V ",NA,94,"142 - 62 - 1",974,1,10.96,3766312," V ",NA,93,"142 - 62 - 1",974,2,10.746,3665348," V ",NA,89,"142 - 62 - 1",974,3,10.842,6728739,0.108683025353548,NA
"3-ethyl-3-methylheptane",12.037,21257758,"SV ",NA,94,"17302 - 01 - 1",931,1,12.03,14571859,"SV ",NA,94,"17302 - 01 - 1",931,2,12.02,9713604," V ",NA,93,"17302 - 01 - 1",931,3,12.029,21257758,0.0085440037453181,NA
"l-.alpha.-terpineol",17.984,17486103," V ",NA,94,"10482 - 56 - 1",1143,1,17.998,18860066," V ",NA,94,"10482 - 56 - 1",1143,2,18.004,20783073," V ",NA,94,"10482 - 56 - 1",1143,3,17.9953333333333,20783073,0.0102632028788935,NA
"2-decenal, (e)-",21.01,3511219," V ",NA,94,"3913 - 81 - 3",1212,1,21.012,3868230," V ",NA,93,"3913 - 81 - 3",1212,2,21.012,4271841," V ",NA,93,"3913 - 81 - 3",1212,3,21.0113333333333,4271841,0.00115470053837861,NA
"6-undecanone",21.428,1725213,"   ",NA,94,"927 - 49 - 1",1251,1,21.439,1889193,"   ",NA,94,"927 - 49 - 1",1251,2,21.435,2144953,"   ",NA,93,"927 - 49 - 1",1251,3,21.434,2144953,0.00556776436282949,NA
"acetic acid, pentyl ester",6.284,3340054," V ",NA,93,"628 - 63 - 7",884,1,6.293,3359278," V ",NA,93,"628 - 63 - 7",884,2,6.284,2911507," V ",NA,93,"628 - 63 - 7",884,3,6.287,3359278,0.00519615242270683,NA
"bicyclo[3.1.0]hex-2-ene, 4-methylene-1-(1-methylethyl)-",7.628,12542986," V ",NA,93,"36262 - 09 - 6",879,1,7.632,9388521," V ",NA,93,"36262 - 09 - 6",879,2,7.624,6803388," V ",NA,93,"36262 - 09 - 6",879,3,7.628,12542986,0.004,NA
"benzaldehyde",7.88,14471096," V ",NA,93,"100 - 52 - 7",982,1,7.888,21226983," V ",NA,95,"100 - 52 - 7",982,2,7.882,21703821," V ",NA,96,"100 - 52 - 7",982,3,7.88333333333333,21703821,0.00416333199893231,NA
"nonane, 2-methyl-",8.086,11455674," V ",NA,93,"871 - 83 - 0",951,1,8.088,8114351," V ",NA,93,"871 - 83 - 0",951,2,8.079,5085414," V ",NA,91,"871 - 83 - 0",951,3,8.08433333333333,11455674,0.00472581562625199,NA
"hexanoic acid, ethyl ester",9.406,4527100," V ",NA,93,"123 - 66 - 0",984,1,9.409,4598213," V ",NA,94,"123 - 66 - 0",984,2,9.404,4194210," V ",NA,95,"123 - 66 - 0",984,3,9.40633333333333,4598213,0.00251661147842395,NA
"bicyclo[2.2.1]heptan-2-ol, 1,3,3-trimethyl-",14.648,2304312," V ",NA,93,"1632 - 73 - 1",1138,1,14.666,1998715," V ",NA,94,"1632 - 73 - 1",1138,2,14.676,1900163," V ",NA,94,"1632 - 73 - 1",1138,3,14.6633333333333,2304312,0.0141891977691954,NA
"benzene, 2-methoxy-4-methyl-1-(1-methylethyl)-",19.561,937583,"   ",NA,93,"1076 - 56 - 8",1231,1,19.565,1082599," V ",NA,94,"1076 - 56 - 8",1231,2,19.563,1213922," V ",NA,94,"1076 - 56 - 8",1231,3,19.563,1213922,0.00200000000000067,NA
"tetradecane, 5-methyl-",21.133,3906204," V ",NA,93,"25117 - 32 - 2",1448,1,21.135,3528328,"SV ",NA,92,"25117 - 32 - 2",1448,2,21.132,3526504," V ",NA,92,"25117 - 32 - 2",1448,3,21.1333333333333,3906204,0.00152752523165226,NA
"hexadecane",21.704,7342116,"SV ",NA,93,"544 - 76 - 3",1612,1,21.709,6918053,"SV ",NA,93,"544 - 76 - 3",1612,2,21.705,7053619,"SV ",NA,92,"544 - 76 - 3",1612,3,21.706,7342116,0.00264575131106447,NA
"hexadecane",22.08,1584718,"   ",NA,93,"544 - 76 - 3",1612,1,22.086,1483940,"   ",NA,92,"544 - 76 - 3",1612,2,22.081,1511665,"   ",NA,91,"544 - 76 - 3",1612,3,22.0823333333333,1584718,0.00321455025366419,NA
"hexadecane",23.759,1543411,"   ",NA,93,"544 - 76 - 3",1612,1,23.764,1434773," V ",NA,93,"544 - 76 - 3",1612,2,23.763,1500425,"   ",NA,93,"544 - 76 - 3",1612,3,23.762,1543411,0.00264575131106447,NA
"2-pentanone",1.908,63558,"   ",NA,92,"107 - 87 - 9",654,1,2.11,783906,"   ",NA,96,"107 - 87 - 9",654,2,2.099,773963,"   ",NA,96,"107 - 87 - 9",654,3,2.039,783906,0.113582569085225,NA
"2-pentanone",1.908,63558,"   ",NA,92,"107 - 87 - 9",654,1,2.11,783906,"   ",NA,96,"107 - 87 - 9",654,2,1.904,67770,"   ",NA,89,"107 - 87 - 9",654,3,1.974,783906,0.117796434581018,NA
"2-pentanone",1.908,63558,"   ",NA,92,"107 - 87 - 9",654,1,1.915,55812,"   ",NA,90,"107 - 87 - 9",654,2,2.099,773963,"   ",NA,96,"107 - 87 - 9",654,3,1.974,773963,0.108309741020834,NA
"2-pentanone",1.908,63558,"   ",NA,92,"107 - 87 - 9",654,1,1.915,55812,"   ",NA,90,"107 - 87 - 9",654,2,1.904,67770,"   ",NA,89,"107 - 87 - 9",654,3,1.909,67770,0.00556776436283009,NA
"methyl isobutyl ketone",2.61,112867," V ",NA,92,"108 - 10 - 1",690,1,2.623,54145,"   ",NA,92,"108 - 10 - 1",690,2,2.609,62560,"   ",NA,91,"108 - 10 - 1",690,3,2.614,112867,0.00781024967590682,NA
"hexanal",3.483,23356175,"SV ",NA,92,"66 - 25 - 1",806,1,3.501,29312385,"SV ",NA,95,"66 - 25 - 1",806,2,3.489,31380133,"SV ",NA,96,"66 - 25 - 1",806,3,3.491,31380133,0.00916515138991159,NA
"octane, 5-ethyl-2-methyl-",14.034,7103521,"SV ",NA,92,"62016 - 18 - 6",986,1,14.033,4214252," V ",NA,92,"62016 - 18 - 6",986,2,14.026,3420491," V ",NA,91,"62016 - 18 - 6",986,3,14.031,7103521,0.00435889894354091,NA
"acetic acid, heptyl ester",14.286,162768,"T  ",NA,92,"112 - 06 - 1",1083,1,14.292,421170," V ",NA,93,"112 - 06 - 1",1083,2,14.288,422337," V ",NA,93,"112 - 06 - 1",1083,3,14.2886666666667,422337,0.00305505046330394,NA
"heptadecane",20.173,2579993," V ",NA,92,"629 - 78 - 7",1711,1,20.178,2416223," V ",NA,90,"629 - 78 - 7",1711,2,20.175,2455774," V ",NA,90,"629 - 78 - 7",1711,3,20.1753333333333,2579993,0.00251661147842478,NA
"2(3h)-furanone, dihydro-5-pentyl-",25.129,607119," V ",NA,92,"104 - 61 - 0",1284,1,25.135,716934," V ",NA,94,"104 - 61 - 0",1284,2,25.133,839754," V ",NA,94,"104 - 61 - 0",1284,3,25.1323333333333,839754,0.00305505046330375,NA
"ethyl acetate",1.663,5501455," V ",NA,91,"141 - 78 - 6",586,1,1.669,6748496," V ",NA,95,"141 - 78 - 6",586,2,1.662,7128998," V ",NA,96,"141 - 78 - 6",586,3,1.66466666666667,7128998,0.00378593889720022,NA
"heptanal",5.899,7839132," V ",NA,91,"111 - 71 - 7",905,1,5.911,8865578," V ",NA,94,"111 - 71 - 7",905,2,5.902,8694622," V ",NA,95,"111 - 71 - 7",905,3,5.904,8865578,0.00624499799839814,NA
"octane, 3,3-dimethyl-",10.39,25904088," V ",NA,91,"4110 - 44 - 5",931,1,10.384,17253907," V ",NA,88,"4110 - 44 - 5",931,2,10.375,13082539," V ",NA,85,"4110 - 44 - 5",931,3,10.383,25904088,0.00754983443527104,NA
"2-octenal, (e)-",11.865,14858538," V ",NA,91,"2548 - 87 - 0",1013,1,11.865,10485601," V ",NA,93,"2548 - 87 - 0",1013,2,11.861,11596988," V ",NA,93,"2548 - 87 - 0",1013,3,11.8636666666667,14858538,0.00230940107675825,NA
"bicyclo[3.1.1]hept-2-ene-2-carboxaldehyde, 6,6-dimethyl-",17.866,3744637," V ",NA,91,"564 - 94 - 3",1136,1,17.87,3993220," V ",NA,93,"564 - 94 - 3",1136,2,17.867,4380283," V ",NA,93,"564 - 94 - 3",1136,3,17.8676666666667,4380283,0.00208166599946669,NA
"heptadecane",20.866,467278," V ",NA,91,"629 - 78 - 7",1711,1,20.868,398382," V ",NA,90,"629 - 78 - 7",1711,2,20.862,374351," V ",NA,89,"629 - 78 - 7",1711,3,20.8653333333333,467278,0.00305505046330414,NA
"2-undecenal",25.478,957108,"   ",NA,91,"2463 - 77 - 6",1311,1,25.486,1225757,"   ",NA,92,"2463 - 77 - 6",1311,2,25.481,1461749,"   ",NA,92,"2463 - 77 - 6",1311,3,25.4816666666667,1461749,0.0040414518843269,NA
"2-heptenal, (e)-",7.733,4218892," V ",NA,90,"18829 - 55 - 5",913,1,7.742,3992141," V ",NA,93,"18829 - 55 - 5",913,2,7.74,4044699," V ",NA,94,"18829 - 55 - 5",913,3,7.73833333333333,4218892,0.00472581562625284,NA
"benzaldehyde, 2-hydroxy-",11.131,2109004," V ",NA,90,"90 - 02 - 8",1203,1,11.127,2057898," V ",NA,93,"90 - 02 - 8",1203,2,11.119,2187174," V ",NA,94,"90 - 02 - 8",1203,3,11.1256666666667,2187174,0.00611010092660808,NA
"3-ethyl-3-methylheptane",11.813,31005746," V ",NA,90,"17302 - 01 - 1",931,1,11.794,16733752," V ",NA,89,"17302 - 01 - 1",931,2,11.782,9934087," V ",NA,89,"17302 - 01 - 1",931,3,11.7963333333333,31005746,0.0156311654502581,NA
"bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1r)-",15.265,1562654," V ",NA,90,"38651 - 65 - 9",1047,1,15.271,1571062," V ",NA,91,"38651 - 65 - 9",1047,2,15.27,1743865," V ",NA,91,"38651 - 65 - 9",1047,3,15.2686666666667,1743865,0.00321455025366419,NA
"undecane, 2-methyl-",16.698,2486500,"   ",NA,90,"7045 - 71 - 8",1150,1,16.701,2003595,"   ",NA,87,"7045 - 71 - 8",1150,2,16.697,1890242,"SV ",NA,86,"7045 - 71 - 8",1150,3,16.6986666666667,2486500,0.00208166599946669,NA
"carvone",20.091,374460," V ",NA,90,"0 - 00 - 0",0,1,20.095,413959," V ",NA,90,"0 - 00 - 0",0,2,20.095,492436," V ",NA,91,"0 - 00 - 0",0,3,20.0936666666667,492436,0.00230940107675722,NA
"decane, 2,3,7-trimethyl-",23.126,741256,"   ",NA,90,"62238 - 13 - 5",1121,1,23.13,729852,"   ",NA,90,"62238 - 13 - 5",1121,2,23.126,787571,"   ",NA,90,"62238 - 13 - 5",1121,3,23.1273333333333,787571,0.00230940107675722,NA
"6-dodecanone",25.787,472531," V ",NA,90,"6064 - 27 - 3",1350,1,25.792,577934," V ",NA,92,"6064 - 27 - 3",1350,2,25.793,734553," V ",NA,92,"6064 - 27 - 3",1350,3,25.7906666666667,734553,0.00321455025366493,NA
"sulfurous acid, 2-ethylhexyl isohexyl ester",27.794,218011," V ",NA,90,"0 - 00 - 0",1908,1,27.625,227004," V ",NA,89,"0 - 00 - 0",1908,2,27.795,240743," V ",NA,90,"0 - 00 - 0",1908,3,27.738,240743,0.0978621479429106,NA
"sulfurous acid, 2-ethylhexyl isohexyl ester",27.794,218011," V ",NA,90,"0 - 00 - 0",1908,1,27.803,197548," V ",NA,89,"0 - 00 - 0",1908,2,27.795,240743," V ",NA,90,"0 - 00 - 0",1908,3,27.7973333333333,240743,0.00493288286231615,NA
"acetic acid",1.608,6838808,"   ",NA,89,"64 - 19 - 7",576,1,1.783,14356915," V ",NA,97,"64 - 19 - 7",576,2,1.788,15571566," V ",NA,98,"64 - 19 - 7",576,3,1.72633333333333,15571566,0.102510162097878,NA
"furfural",4.097,2880349," V ",NA,89,"98 - 01 - 1",831,1,4.112,2953174," V ",NA,90,"98 - 01 - 1",831,2,4.1,2822181,"   ",NA,90,"98 - 01 - 1",831,3,4.103,2953174,0.00793725393319374,NA
"undecane, 2,4-dimethyl-",18.77,1588983," V ",NA,89,"17312 - 80 - 0",1185,1,18.773,1457144," V ",NA,88,"17312 - 80 - 0",1185,2,18.774,1403799," V ",NA,88,"17312 - 80 - 0",1185,3,18.7723333333333,1588983,0.00208166599946669,NA
"sulfurous acid, 2-ethylhexyl isohexyl ester",27.618,216747," V ",NA,89,"0 - 00 - 0",1908,1,27.625,227004," V ",NA,89,"0 - 00 - 0",1908,2,27.795,240743," V ",NA,90,"0 - 00 - 0",1908,3,27.6793333333333,240743,0.100231398939322,NA
"sulfurous acid, 2-ethylhexyl isohexyl ester",27.618,216747," V ",NA,89,"0 - 00 - 0",1908,1,27.803,197548," V ",NA,89,"0 - 00 - 0",1908,2,27.795,240743," V ",NA,90,"0 - 00 - 0",1908,3,27.7386666666667,240743,0.104576925434503,NA
