"Name","Ret.Time.1","Area.1","Mark.1","Ret..Index.1","SI.1","CAS.1","Retention.Index.1","Replicate.1","Ret.Time.2","Area.2","Mark.2","Ret..Index.2","SI.2","CAS.2","Retention.Index.2","Replicate.2","Ret.Time.3","Area.3","Mark.3","Ret..Index.3","SI.3","CAS.3","Retention.Index.3","Replicate.3","Ret.Time.Avg","Max.Area","Ret.Time.SD","Ret.Time.Outlier"
"hexadecane",23.753,573031,"   ",NA,92,"544 - 76 - 3",1612,1,23.756,485197," V ",NA,91,"544 - 76 - 3",1612,2,NA,890528,"   ",NA,NA,"544 - 76 - 3",1612,3,23.0833333333333,890528,1.1624957347592,21.741
"pentanoic acid",6.168,1093902," V ",NA,91,"0 - 00 - 0",0,1,6.263,1504732,"SV ",NA,94,"109 - 52 - 4",875,2,NA,393336," V ",NA,NA,"109 - 52 - 4",875,3,6.10033333333333,1504732,0.205052025918627,5.87
"octane, 2,3,6,7-tetramethyl-",NA,464883," V ",NA,NA,"52670 - 34 - 5",958,1,14.369,399222," V ",NA,93,"52670 - 34 - 5",958,2,14.407,230085," V ",NA,91,"52670 - 34 - 5",958,3,14.1383333333333,464883,0.432852553802485,13.639
"octane, 2,3,6,7-tetramethyl-",13.639,464883," V ",NA,91,"52670 - 34 - 5",958,1,14.369,399222," V ",NA,93,"52670 - 34 - 5",958,2,NA,438169," V ",NA,NA,"52670 - 34 - 5",958,3,13.225,464883,1.39776535942196,11.667
"octane, 2,3,6,7-tetramethyl-",13.639,464883," V ",NA,91,"52670 - 34 - 5",958,1,13.668,458138," V ",NA,91,"52670 - 34 - 5",958,2,NA,230085," V ",NA,NA,"52670 - 34 - 5",958,3,13.9046666666667,464883,0.435275008854556,14.407
"octane, 2,3,6,7-tetramethyl-",13.639,464883," V ",NA,91,"52670 - 34 - 5",958,1,13.668,458138," V ",NA,91,"52670 - 34 - 5",958,2,NA,438169," V ",NA,NA,"52670 - 34 - 5",958,3,12.9913333333333,464883,1.14699796570584,11.667
"octane, 2,3,6,7-tetramethyl-",13.639,464883," V ",NA,91,"52670 - 34 - 5",958,1,NA,903730," V ",NA,NA,"52670 - 34 - 5",958,2,14.407,230085," V ",NA,91,"52670 - 34 - 5",958,3,13.2233333333333,903730,1.43730871191033,11.624
"nonane, 4,5-dimethyl-",22.073,428624," V ",NA,91,"17302 - 23 - 7",986,1,22.081,349371,"   ",NA,90,"17302 - 23 - 7",986,2,NA,217942," V ",NA,NA,"17302 - 23 - 7",986,3,19.55,428624,4.376894218507,14.496
"nonane, 4,5-dimethyl-",22.822,409340," V ",NA,91,"17302 - 23 - 7",986,1,22.081,349371,"   ",NA,90,"17302 - 23 - 7",986,2,NA,217942," V ",NA,NA,"17302 - 23 - 7",986,3,19.7996666666667,409340,4.60802889892558,14.496
"undecane, 5-methyl-",16.258,565145," V ",NA,90,"1632 - 70 - 8",1150,1,NA,151882," V ",NA,NA,"1632 - 70 - 8",1150,2,16.318,247824,"   ",NA,90,"1632 - 70 - 8",1150,3,13.4203333333333,565145,4.96703496397331,7.685
"nonane, 2,5-dimethyl-",10.193,7353104," V ",NA,97,"17302 - 27 - 1",986,1,10.232,6722461," V ",NA,97,"17302 - 27 - 1",986,2,NA,NA,NA,NA,NA,NA,NA,NA,10.2125,7353104,0.0275771644662751,NA
"nonane, 2,5-dimethyl-",10.193,7353104," V ",NA,97,"17302 - 27 - 1",986,1,10.006,10402795," V ",NA,94,"17302 - 27 - 1",986,2,NA,NA,NA,NA,NA,NA,NA,NA,10.0995,10402795,0.132228968081884,NA
"hexanoic acid",10.724,6526069," V ",NA,97,"142 - 62 - 1",974,1,10.703,2982694,"SV ",NA,92,"142 - 62 - 1",974,2,NA,NA,NA,NA,NA,NA,NA,NA,10.7135,6526069,0.0148492424049181,NA
"hexanoic acid",10.724,6526069," V ",NA,97,"142 - 62 - 1",974,1,10.681,1689557," V ",NA,90,"142 - 62 - 1",974,2,NA,NA,NA,NA,NA,NA,NA,NA,10.7025,6526069,0.0304055915910223,NA
"heptanal",5.85,3710046," V ",NA,96,"111 - 71 - 7",905,1,5.918,3088320," V ",NA,96,"111 - 71 - 7",905,2,NA,NA,NA,NA,NA,NA,NA,NA,5.884,3710046,0.0480832611206856,NA
"1-heptanol",8.357,3762972," V ",NA,96,"0 - 00 - 0",0,1,8.401,3772985," V ",NA,95,"111 - 70 - 6",960,2,NA,NA,NA,NA,NA,NA,NA,NA,8.379,3772985,0.0311126983722084,NA
"butanoic acid, 3-methyl-",4.354,421396," V ",NA,95,"503 - 74 - 2",811,1,4.438,268423,"SV ",NA,93,"503 - 74 - 2",811,2,NA,NA,NA,NA,NA,NA,NA,NA,4.396,421396,0.0593969696196697,NA
"3,5-octadien-2-ol",10.949,2021819," V ",NA,95,"69668 - 82 - 2",995,1,10.985,1834634," V ",NA,95,"69668 - 82 - 2",995,2,NA,NA,NA,NA,NA,NA,NA,NA,10.967,2021819,0.0254558441227154,NA
"propanoic acid, 2,2-dimethyl-",3.62,58044,"T  ",NA,94,"75 - 98 - 9",790,1,3.73,41042,"T  ",NA,95,"75 - 98 - 9",790,2,NA,NA,NA,NA,NA,NA,NA,NA,3.675,58044,0.0777817459305201,NA
"2,4-dimethyl-1-heptene",4.235,702203," V ",NA,94,"19549 - 87 - 2",819,1,4.318,966753," V ",NA,95,"19549 - 87 - 2",819,2,NA,NA,NA,NA,NA,NA,NA,NA,4.2765,966753,0.0586898628384829,NA
"nonane, 2,5-dimethyl-",9.962,7254875," V ",NA,94,"17302 - 27 - 1",986,1,10.232,6722461," V ",NA,97,"17302 - 27 - 1",986,2,NA,NA,NA,NA,NA,NA,NA,NA,10.097,7254875,0.190918830920368,NA
"nonane, 2,5-dimethyl-",9.962,7254875," V ",NA,94,"17302 - 27 - 1",986,1,10.006,10402795," V ",NA,94,"17302 - 27 - 1",986,2,NA,NA,NA,NA,NA,NA,NA,NA,9.984,10402795,0.0311126983722084,NA
"2(3h)-furanone, 5-ethyldihydro-",11.415,3723234," V ",NA,94,"695 - 06 - 7",986,1,11.454,3203977," V ",NA,94,"695 - 06 - 7",986,2,NA,NA,NA,NA,NA,NA,NA,NA,11.4345,3723234,0.0275771644662764,NA
"3-ethyl-3-methylheptane",11.991,8677361,"SV ",NA,94,"17302 - 01 - 1",931,1,12.026,8477729,"SV ",NA,94,"17302 - 01 - 1",931,2,NA,NA,NA,NA,NA,NA,NA,NA,12.0085,8677361,0.0247487373415293,NA
"dodecane, 4-methyl-",19.304,970608,"SV ",NA,94,"6117 - 97 - 1",1249,1,19.314,831485," V ",NA,94,"6117 - 97 - 1",1249,2,NA,NA,NA,NA,NA,NA,NA,NA,19.309,970608,0.00707106781186658,NA
"undecane, 2,5-dimethyl-",17.167,1048481," V ",NA,93,"17301 - 22 - 3",1185,1,17.178,894107," V ",NA,94,"17301 - 22 - 3",1185,2,NA,NA,NA,NA,NA,NA,NA,NA,17.1725,1048481,0.00777817459305148,NA
"2-nonanone",13.278,663257," V ",NA,92,"821 - 55 - 6",1052,1,13.302,610805," V ",NA,93,"821 - 55 - 6",1052,2,NA,NA,NA,NA,NA,NA,NA,NA,13.29,663257,0.0169705627484765,NA
"decane, 3,6-dimethyl-",20.427,430805," V ",NA,92,"17312 - 53 - 7",1086,1,20.436,356885," V ",NA,91,"17312 - 53 - 7",1086,2,NA,NA,NA,NA,NA,NA,NA,NA,20.4315,430805,0.00636396103067917,NA
"hexanoic acid",6.228,1995348," V ",NA,91,"142 - 62 - 1",974,1,10.703,2982694,"SV ",NA,92,"142 - 62 - 1",974,2,NA,NA,NA,NA,NA,NA,NA,NA,8.4655,2982694,3.1643028458098,NA
"hexanoic acid",6.228,1995348," V ",NA,91,"142 - 62 - 1",974,1,10.681,1689557," V ",NA,90,"142 - 62 - 1",974,2,NA,NA,NA,NA,NA,NA,NA,NA,8.4545,1995348,3.1487464966237,NA
